City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
558,Laguna,US,88.97,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
561,Namie,JP,76.71,overcast clouds,37.4833,141.0,いこいの村なみえ
566,Alto Araguaia,BR,89.76,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
567,Camocim,BR,84.2,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
569,Kupang,ID,74.75,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
570,Gallup,US,77.76,clear sky,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
574,Uryupinsk,RU,71.62,overcast clouds,50.8047,42.0138,"Guest house ""Eco-house"""
575,Poso,ID,75.81,broken clouds,-1.3959,120.7524,Hotel 77 Poso
577,Bikaner,IN,85.48,overcast clouds,28.0167,73.3,The Laxmi Niwas Palace
580,Mutterstadt,DE,77.34,clear sky,49.4414,8.3561,Hotel Residenz
582,Jarinu,BR,77.38,clear sky,-23.1014,-46.7283,Hotel Fazenda Pirâmides
583,Seoul,KR,80.17,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
584,Rio Grande,BR,75.31,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
585,Minab,IR,85.87,moderate rain,27.1467,57.0801,Bam campground
587,La Sarre,CA,75.92,overcast clouds,48.8002,-79.1996,Motel Villa Mon Repos
588,Mangrol,IN,81.36,broken clouds,21.1167,70.1167,Hotel The Royal Honours
589,Khandbari,NP,70.92,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
591,Xiamen,CN,82.45,overcast clouds,24.4798,118.0819,Xiamen Dongchen Hotel
592,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
593,Bambous Virieux,MU,71.22,light rain,-20.3428,57.7575,Casa Tia Villa
596,Barranco,PA,87.91,overcast clouds,9.5167,-82.7,Casa doña Delfina Jiménez
597,Hetauda,NP,81.75,broken clouds,27.4284,85.0322,Regal Hetauda Resort
598,Altamira,BR,86.41,broken clouds,-3.2033,-52.2064,Requinte Hotel
600,Moron,AR,70.95,overcast clouds,-34.6534,-58.6198,Hotel Morón
602,Zhezkazgan,KZ,79.65,few clouds,47.8043,67.7144,Hotel Zumrat
603,Ambon,ID,80.74,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
606,Udachnyy,RU,70.45,overcast clouds,66.4167,112.4,Severnoye Siyaniye
610,Havre,FR,74.19,clear sky,49.5833,0.3333,gite bois jourdain
612,Rajauri,IN,75.69,overcast clouds,33.3833,74.3,Hotel Ashoka
621,Brigantine,US,86.04,broken clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
626,Bontang,ID,77.88,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
629,Semey,KZ,72.05,few clouds,50.4111,80.2275,Grand Hotel Semey
630,Fairview,US,89.2,clear sky,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
633,Nador,MA,87.87,clear sky,35.174,-2.9287,Hôtel La Giralda
635,Cortes,ES,89.65,clear sky,41.9395,-1.4396,Rincon de bu
637,Manto,HN,84.9,broken clouds,14.9167,-86.3833,Hotel Carrasco
640,Padang,ID,77.27,scattered clouds,-0.9492,100.3543,Mercure Padang
641,Requena,ES,77.79,clear sky,39.4883,-1.1004,Hotel Avenida
642,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
643,Mayumba,GA,70.68,overcast clouds,-3.432,10.6554,LIKWALE LODGE
646,Mangan,IN,75.4,overcast clouds,27.5167,88.5333,Hotel Mout View
647,Virden,US,83.68,overcast clouds,39.5009,-89.7679,Virden Nail Spa
649,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
650,Carroll,US,88.12,scattered clouds,39.5501,-77.0164,Best Western Westminster Hotel
655,Buala,SB,78.58,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
659,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Pirineos
661,Warwick,US,89.73,broken clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
663,Dongying,CN,76.78,broken clouds,37.4564,118.4856,Wanda Realm
665,Xixiang,CN,74.95,overcast clouds,35.1628,112.865,Hongchang Rest House
666,Tottori,JP,76.33,overcast clouds,35.5,134.2333,Hotel Monarque Tottori
667,Niquero,CU,87.82,overcast clouds,20.0431,-77.5828,Islazul Niquero
669,Galesong,ID,73.42,clear sky,-5.3166,119.3661,Sapriadi Appy
670,Kitimat,CA,79.92,few clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
671,Praya,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
672,Mabay,PH,78.13,overcast clouds,6.0577,124.4666,Bautista Lodging House
676,Lamu,KE,74.8,scattered clouds,-2.2717,40.902,Lamu House
677,Inirida,CO,79.99,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
679,Takoradi,GH,76.8,broken clouds,4.8845,-1.7554,Raybow International Hotel
681,North Bend,US,77.23,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
683,Naze,JP,77.92,light rain,28.3667,129.4833,Shishime Hotel
684,Dingle,PH,76.1,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
686,Quatre Cocos,MU,71.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
687,Hala,PK,85.98,overcast clouds,25.8131,68.4227,أنصاري ديكوريشن إستاف
691,Soyo,AO,70.75,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
693,Ankpa,NG,72.07,overcast clouds,7.3706,7.6253,AA Suites
694,Ecoporanga,BR,81.18,scattered clouds,-18.3733,-40.8306,Hotel Bar e Restaurante do Dico
696,Kropotkin,RU,71.53,scattered clouds,45.4375,40.5756,Hotel Europe Kropotkin
697,Silver City,US,78.76,overcast clouds,32.7701,-108.2803,Copper Manor Motel
699,Bac Lieu,VN,81.12,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
701,Bambanglipuro,ID,73.76,scattered clouds,-7.95,110.2833,Puri Brata
703,Syracuse,IT,85.59,clear sky,37.0881,15.2792,Hotel Posta
704,Jiangyou,CN,74.7,clear sky,31.7667,104.7167,Shangping Shuyuan Inn
705,Erice,IT,79.36,few clouds,38.037,12.5865,I Mulini Resort
708,Whitefish,US,85.21,clear sky,48.4111,-114.3376,Best Western Rocky Mountain Lodge
709,Bangolo,CI,74.82,light rain,7.0069,-7.475,Hôtel Boya Bangolo
712,Caravelas,BR,75.88,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
